true_label,original_sent,noisy_label
1,"In the Baltic countries , sales fell by 40.2 % , and in Russia , by 23.2 % in terms of euros , and by 10.7 % in terms of local currency .",1
0,Net profit was 35.5 mln compared with 29.8 mln .,2
2,Tiimari operates 194 stores in six countries -- including its core Finnish market -- and generated a turnover of 76.5 mln eur in 2005 .,2
2,"Besides , as there is no depositor preference in Finland , senior debt and deposits rank on a par , which is also taken into consideration , the agency added .",2
0,The investments and operational changes enable additional optimisation of the working hours and thereby further cost savings of some 7 % -9 % .,0
0,"In January-September 2010 , Fiskars ' net profit went up by 14 % year-on-year to EUR 65.4 million and net sales to EUR 525.3 million from EUR 487.7 million .",0
1,"The Finnish national carrier said net loss in April through June was euro26 million , down from a net profit of euro13 million a year earlier .",1
2,The company 's board of directors would propose a dividend of EUR1 .00 per share for 2005 .,2
2,This wood lacquered clock comes with a stripy hand-crocheted cover .,2
0,Ruukki forecast a 15-20 % annual sales growth and a positive pretax result for 2010 .,0
2,"Metsaliitto will sell 1.1 million B shares of Neomarkka , accounting for about 18.3 pct of Neomarkka 's equity and about 12.7 pct of the voting rights .",2
1,Revenue in the quarter fell 8 percent to ( EURO ) 2.4 billion compared to a year earlier .,1
0,Operating profit rose to EUR 4.7 mn from EUR 3.6 mn .,0
2,"According to Finnish Scanfil 's founder and chairman of the board , Jorma J. Takanen , the company has to look for growth abroad .",2
0,"Fiskars , a 360-year-old global business best known for its orange-handled scissors , expects to derive synergies of EUR5 million a year by consolidating certain parts of the housewares division where the two compete .",2
2,"The offer of some 30 million shares aimed to raise more than  x20ac 500 million US$ 640 million , was expected to be completed by Oct. 9 , Outokumpu said .",2
2,Stichting Pensioenfonds ABP : 4 118 122 shares representing 5.19 % of the share capital and voting rights .,2
2,"Utah 's capital wanted to be the next U.S. headquarters of Amer Sports Corp. , a ski-equipment company .",2
2,"Nordstjernan will make the offer in approximately one month , in September 2007 .",2
2,"Based in Helsinki , Finland , Ramirent has branches in 13 Nordic , central and Eastern European countries .",2
2,"Purchase it for the 12MP snapper , if nothing else .",2
2,The following information was released by Comptel : Tomorrow the Chairman of the Federal Communications Commission is scheduled to deliver the National Broadband Plan to Congress .,2
2,"The decision will have to be made whether the group agrees to the import of Estonian meat and meat products to Finland , the paper added .",2
2,"The share capital of Biotie Therapies Corp. constitutes 90,211,860 shares in the aggregate and the number of voting rights attached to the shares amounts to 90,211,860 .",2
1,"Finnish Kemira 's net sales EUR decreased to EUR 1,259.6 mn in January-June 2009 from EUR 1,425.1 mn in January-June 2008 .",1
2,"After non-recurring items of EUR 177mn , profit amounted to EUR 20mn .",2
2,The Moscow Metro ( www.mosmetro.ru ) was the first metro system in Europe to implement smart cards together with a new type of magnetic card in 1998 .,2
0,Vacon 's cash flow from operations grew to EUR 37.1 mn from EUR 21.9 mn a year ago .,0
2,"About 36 % of this came from Aspo Chemicals , 39 % from Aspo Shipping and 25 % from Aspo Systems .",2
1,"However , the orders received during the period under review fell by 17 % quarter-on-quarter from the EUR 213 million recorded in the second quarter of 2010 .",1
2,Analysts surveyed by Thomson Financial expected revenue of $ 69 million for the quarter .,2
1,"Shares in Royal and Sun Alliance continued to slide back from a 12-month high of 172p last month , after a potential suitor ruled itself out of a takeover bid .",1
2,"In 2007 , the Group 's net sales stood at EUR 42 million and it had about 1,445 employees .",2
0,"Excluding non-recurring items , pre-tax profit surged 45 % to EUR80m .",0
0,Operating profit margin increased from 11.2 % to 11.7 % .,0
2,COMPTEL CORPORATION Sami Ervio President and CEO Distribution : NASDAQ OMX Helsinki Major media Comptel Dynamic OSS solutions enable telecom service providers to deliver services flexibly and charge them effectively .,2
2,SAMPO PLC Jarmo Salonen Head of Investor Relations and Group Communications tel. +358 10 516 0030 Distribution : NASDAQ OMX Helsinki The principal media Financial Supervisory Authority www.sampo.com This announcement is distributed by Thomson Reuters on behalf of Thomson Reuters clients .,2
2,Curators have divided their material into eight themes .,2
2,"FL Group 's private equity division manages all operating companies , including Icelandair Group , FL Travel Group , Bluebird and Sterling .",2
2,"Den Bosch-based TomTom is Europe 's largest maker of automotive navigation devices , while Cayman Islands-based Garmin is larger in the U.S. and overall .",2
2,"The business transfer will take effect from 1 January 2007 , and in connection with this 47 employees will transfer from Elisa to Daxtum as continuing employees .",2
2,The dividends payable annually shall be deducted from the share subscription price .,2
1,Finnish communication electronics components supplier Scanfil Oyj Tuesday said sales in the first half of 2006 will be 15 % lower than during the same period a year ago .,1
2,The per-share subscription price of the shares subscribed with the option rights was EUR 1.35 .,2
2,"Tiimari 's registered share capital is 16,474,755 shares as per today .",2
0,Diluted earnings per share ( EPS ) rose to EUR 1.05 from EUR 0.64 .,0
1,"Coca-Cola was the market leader of manufacturers with a market share of 36.9 % , down 2.2 % from the corresponding period in 2004-2005 .",1
0,"`` The number of collection errors fell considerably , and operations speeded up .",0
0,Technical indicators for the stock are bullish and S&P gives NOK a positive 4 STARS out of 5 buy ranking .,0
2,The purchase price was not disclosed .,2
2,"The most significant capital expenditure items were in the global enterprise resource planning ERP project , product development and production machines .",2
0,It also said its third quarter diluted EPS came in at 0.34 eur compared with 0.16 eur in the same quarter a year ago .,2
2,"The Polish business employs about 1,000 people , and it had net sales of about EUR 70mn in 2007 .",2
0,The company also said that in Poland a profitability program has been launched at the Oborniki steel frame and sandwich panel plant .,2
1,Loss for the period totalled EUR 15.6 mn compared to a profit of EUR 6.3 mn in 2008 .,1
2,"Aug. 17 , 2010 ( Curbed delivered by Newstex ) -- And now , the latest from Racked , covering shopping and retail from the sidewalks up .",2
2,Customers in a wide range of industries use our stainless steel and services worldwide .,0
0,"The Australian company Mirabela Nickel has awarded Outokumpu Technology a contract for grinding technology for its nickel sulfide project in Bahia State , Brazil .",2
2,Kaupthing Bank will publish its annual results for 2007 before markets open on Thursday 31 January .,2
2,"On the following workday customers can check from their home computers how their purchases are divided between different ingredient groups , how much energy various products contain and what is the nutritional content of all purchases .",2
0,"Pretax profit rose to EUR 1,019 mn from EUR 1,007 in the corresponding period in 2005 .",0
1,Earnings per share ( EPS ) dropped to EUR 0.21 from EUR 0.31 .,1
2,New Novator products are supposed to be exported .,2
2,"Finnish drug distributor and wholesaler Oriola-KD Oyj said on October 11 , 2006 it named Anne Kariniemi vice president of its Logistics and Sourcing department as of January 15 , 2007 .",2
2,"128,538 shares can still be subscribed for with Series E share options , max .",2
2,"Okhta Center area is expected to have about 700,000 square metres of office premises by 2016 .",2
0,"India 's trade with Russia currently stands at four billion dollars , growing 9.6 per cent in fiscal 2007 .",0
0,"Mika Stahlberg , VP F-Secure Labs , said , `` We are excited and proud that F-Secure has been recognized by AV-Comparatives as the Product of the Year .",0
2,"CapMan has four investment areas ( CapMan Buyout , CapMan Technology , CapMan Life Science and CapMan Real Estate ) , and each of them has a dedicated team .",2
0,The robust growth was the result of the inclusion of clothing chain Lindex in the Group in December 2007 .,0
0,"Return on investment was 5.0 % , compared to a negative 4.1 % in 2009 .",0
1,"Finnish power supply solutions and systems provider Efore Oyj said its net loss widened to 3.2 mln euro $ 4.2 mln for the first quarter of fiscal 2006-2007 ending October 31 , 2007 from 900,000 euro $ 1.2 mln for the same period of fiscal 2005-06 .",1
0,"The Helsinki-based company , which also owns the Salomon , Atomic and Suunto brands , said net profit rose 15 percent in the three months through Dec. 31 to (  x20ac ) 47 million ( $ 61US million ) , from (  x20ac ) 40.8 million a year earlier .",0
2,"`` The enterprise value of the Fray Bentos pulp mill and Forestal Oriental totals approximately euro1 .6 billion , '' UPM said .",2
2,"Ahlstrom 's 5,700 employees serve customers via sales offices and production facilities in more than 20 countries on six continents .",2
2,"The contract value amounts to about EUR11m , the company added .",2
2,The business area 's net sales were slightly over 2m in 2006 .,2
0,Efore 's results for the last quarter showed an even faster improvement as the company managed to better source its components .,0
2,The transaction is planned to be financed with a EUR40m market-based loan granted by Standard Chartered Bank Hong Kong .,2
1,"Revenue was slightly down , at  x20ac 495 million $ 634 million , compared to  x20ac 497 million a year earlier .",1
2,"Destia Oy is a Finnish infrastructure and construction service company building , maintaining and designing traffic routes , industrial and traffic environments , but also complete living environments .",2
2,"Most of the raw materials come from Europe and the US and are paid in euros or US dollars , while sales take place in rubles .",2
0,Net sales revenue per passenger is expected to increase .,0
1,"YIT lodged counter claims against Neste Oil totaling some EUR25m , primarily based on work carried out under the contract and additional costs incurred due to prolongation of the project .",2
2,"Motorola Inc. of the United States came second with shipments of 217.4 million units for a 21.3 percent market share , followed by South Korea 's Samsung Electronics Co. with shipments of 118.0 million units for an 11.6 percent share .",2
2,The order was worth EUR 8mn .,2
2,"Capacity of the facility made by Finland 's Vaahto Group is 86,000 tons of light coated paper .",2
0,Operating profit rose to EUR 9.2 mn from EUR 6.8 mn in the corresponding period in 2007 .,0
2,The original patent was filed in Finland under application No. .,2
2,"Published by Globes online , Israel business news - www.globes-online.com - on November 16 , 2009 -® Copyright of Globes Publisher Itonut 1983 Ltd. 2009",2
2,` Nordic infrastructure construction is one of our strategic growth areas .,0
1,Finnair 's total traffic decreased by 8.7 % in terms of revenue passenger kilometres .,1
2,"Meanwhile , Alfa owns 25.1 % of MegaFon through Altimo , and 4.99 % of Turkcell via an 18.5 % stake in Cukurova Holding .",2
0,EBIT excluding non-recurring items was estimated to increase from 2009 .,0
0,"Raute posted a net profit of 1.8 mln euro $ 2.6 mln for the third quarter of 2007 , compared to a net loss of 299,000 euro $ 430,000 for the corresponding period of 2006 .",0
2,"At end-August , Sampo was Nordea 's biggest shareholder with a 20.6 % stake , followed by the state with 19.9 % .",2
2,The extracted filtrates are very high in clarity while the dried filter cakes meet required transport moisture limits (TMLs)for their ore grades .,0
2,It posted a turnover of 4.5 mln euro $ 6.1 mln and an operating profit of 1.5 mln euro $ 2.0 mln for 2006 .,2
0,The company is well positioned in Brazil and Uruguay .,0
1,"TietoEnator was down 1.13 pct to 18.38 , extending recent lows after last week 's second-quarter report , dealers said .",1
1,"Operating result showed a loss of EUR 2.9 mn , while a year before , it showed a profit of EUR 0.6 mn .",1
2,A 2001 agreement expired earlier this month .,2
2,"Payment for acquired shares will be made in cash , and the price per share will be EUR 1 plus an administration fee .",2
0,Uponor improved its performance in spite of the decrease in residential construction in the US .,0
0,"A Helsinki : ELIiV today reported EPS of EUR1 .13 for 2009 , an increase over EPS of EUR1 .12 in 2008 .",0
1,"Finnish plumbing and heating systems supplier Uponor 's net sales in continuing business operations decreased to EUR 249.1 mn in July-September 2008 , compared to EUR 262.1 mn in the third quarter of 2007 .",1
2,"CapMan said the deal 's effect on its cash flow for 2009 totals EUR3 .4 m , but the transaction would not affect its financial results for 2009 as it was executed at fair value .",2
2,"Nordea Bank AB publ holds 6.000 Alma Media shares , representing 0.008 % of share capital and voting rights .",2
2,"However , the brokers ' ratings on the stock differ .",2
2,Mr K.R. Vasantha has been appointed Managing Director of Incap Contract Manufacturing Services Pvt. Ltd. .,2
0,"Ragutis , controlled by the Finnish brewery Olvi , achieved a 5.7 percent rise in beer sales to 22.6 million liters and held a 10.75 percent market share .",0
2,A filter is used to pre-process packets to determine if they need to be further processed by the processor of the network device .,2
1,"Exports of goods fell by 59 % , and imports by 16.7 % .",1
2,What we think ?,2
2,"Alma Media Corporation PRESS RELEASE March 25 , 2010 TYRV+ä+äN SANOMAT PURCHASE CONFIRMED The business operations of Tyrv+ñ+ñn Sanomat Oy will be transferred to Suomen Paikallissanomat Oy .",2
2,"Currently the Terminator lures are produced in a subcontract facility in Mexico but the manufacturing will be transferred to Rapala 's factory in Shenzhen , China .",2
2,"A coker crane will be supplied to Tesoro Corporation 's Golden Eagle Refinery in Martinez , California , while a similar crane will be delivered to BP 's Castell refinery in Spain .",2
2,N-Viro operates processing facilities independently as well as in partnership with municipalities .,2
0,"Finland 's national carrier Finnair PLC carried a record 8.5 million passengers in 2005 , an increase of 4.5 percent on the previous year , the airline reported Tuesday .",0
1,"Finnish shipping company Finnlines , of the Grimaldi Group , reports its net sales decreased to EUR 241.8 mn in January-June 2009 from EUR 384.0 mn in the corresponding period in 2008 .",1
2,The contract is worth some EUR 1 million .,2
0,Its market share widened to 48.51 percent from 48.31 percent a year earlier .,0
1,Device volume in the area decreased by 21 % to 2.7 mn units .,1
0,LONDON MarketWatch -- Nokia nok said it 's won a five-year services contract to run Hutchison Essar 's network operations in nine locations in India .,0
1,"Nokia shares hit 13.21 euros on Friday , down 50 percent from the start of the year in part because of the slow introduction of touch-screen models .",1
2,Marathon estimates the value of its remaining stake in Protalix at $ 27 million .,2
2,No financial details were disclosed .,2
2,"After the split , the number of K shares will be 9 540 000 and the number of A shares 26 885 540 .",2
2,"As part of the reorganization , Kauko-Telko Ltd will be divided into Telko Ltd , Leipurin Ltd , Hamina Terminal Services Ltd and Kaukomarkkinat Ltd. .",2
2,"One price category is for calls on the preferred operator 's network , and another for calls on other operators ' networks .",2
2,"Tieto 's service is also used to send , process and receive materials related to absentee voting .",2
0,"Pre-tax profit totaled EUR 397.4 mn , up from EUR 164.7 mn .",0
2,Negotiations with representatives of the personnel regarding the restructuring process have now been ended .,2
2,"Huhtamaki 's rigid plastic consumer goods operations , which are mainly in Europe , will be separated into a new reporting segment as of 1 January 2009 .",2
2,"The donations are granted to Aalto University and the universities of Helsinki , Tampere , Turku , Eastern Finland , Jyv+ñskyl+ñ , Oulu and Vaasa , and to polytechnics to be announced later .",2
0,"Profit after taxes for the period was up to EUR0 .9 m , from EUR0 .01 m last year .",0
1,Relations with the City have been further damaged by comments from Mr Ashley criticising City investors and analysts as `` cry babies '' .,1
0,"For the current year , Raute expects its net sales to increase and the operating result -- to be positive .",0
1,Finnish retail software developer Aldata Solution Oyj reported a net loss of 11.7 mln euro $ 17.2 mln for 2007 versus a net profit of 2.5 mln euro $ 3.7 mln for 2006 .,1
0,Operating profit rose to EUR 4.7 mn from EUR 4.6 mn .,0
2,The sales price was not disclosed .,2
0,"MANAVIGATOR-September 7 , 2010-Kemira unveils Indian JV with IVRCL Finnish chemicals group Kemira ( HEL : KRA1V ) on Tuesday announced it has inked a deal to form a joint venture in India with local construction firm IVRCL Infrastructure and Projects Ltd ( BOM :530773 ) .",2
2,The terms and conditions of the year 2003 stock option scheme were published in a stock exchange release on 31 March 2003 .,2
0,Net sales in 2007 are expected to be 10 % up on 2006 .,0
0,"Operating profit surged to EUR21m from EUR106 ,000 .",0
2,"Also , a six-year historic analysis is provided for these markets .",2
0,"2010 16 July 2010 - Finnish steel maker Rautaruukki Oyj HEL : RTRKS , or Ruukki , said today it turned to a net profit of EUR20m in the second quarter of 2010 from a net loss of EUR94m in the corresponding period last year .",0
2,"The copying , republication or redistribution of AFX News Content , inculding by framing or similar means , is expressly prohibited without the prior written consent of AFX News .",2
0,"Profit for the period was EUR 9.8 mn , up from EUR 6.0 mn in 2004 .",0
0,"The transaction will have a positive impact of around EUR2m on earnings , which Ruukki will recognize during the fourth quarter of this year .",0
2,Both Mr Walden and Mr Ignatius will be responsible also for the newspapers ' business result .,2
0,"Finnish security and privacy software solutions developer Stonesoft Oyj said on January 7 , 2008 that the preliminary sales of its StoneGate products grew by 59 pct year-on-year to 3.6 mln euro ( $ 5.3 mln ) for the fourth quarter of 2007 .",0
2,"The customer is then forwarded to the site , and unknown to him logged in with the first number .",2
0,"This location makes the mall a convenient place to shop for consumers from three large residential areas nearby : Jaroszowka , Wysockiego and Zgody .",0
2,The company 's board of directors will propose a dividend of EUR 0.14 for 2008 at the annual general meeting .,2
2,Ms Laakso will be responsible for HKScan 's HR functions and for their development in all of the Group ` smarket areas .,2
2,"The study evaluated the safety , tolerability and pharmacokinetics of repeated doses of intravenously administered antibody in 26 patients with active plaque psoriasis .",2
1,"Finnish Bank of +àland reports operating profit of EUR 2.2 mn in the first quarter of 2010 , down from EUR 6.3 mn in the corresponding period in 2009 .",1
0,"EPS for the quarter came in at 0.36 eur , up from 0.33 eur a year ago and ahead of forecast of 0.33 eur .",0
2,"If Honkarakenne starts production there , it will need a partner for sawmill operations .",2
1,Operating profit was EUR 1.6 mn in 2005 compared to EUR 5.9 mn in 2004 .,1
2,Bluewin Security is available as a monthly subscription .,2
2,"The hosting mobile terminal guides information flow between itself , the participating terminals , and optionally , with network servers that may assist the hosting mobile terminal .",2
2,"Elisa Corporation will disclose its financial statements for 2006 on Thursday , 8 February 2007 .",2
